isin,symbol,date,eps
US0640581007,BK,2024-12-31,1.72
US0640581007,BK,2024-09-30,1.52
US0640581007,BK,2024-06-30,1.51
US0640581007,BK,2024-03-31,1.29
US0640581007,BK,2023-12-31,1.28
US0640581007,BK,2023-09-30,1.22
US0640581007,BK,2023-06-30,1.3
US0640581007,BK,2023-03-31,1.12
US0640581007,BK,2022-12-31,0.62
US0640581007,BK,2022-09-30,1.06
US0640581007,BK,2022-06-30,1.15
US0640581007,BK,2022-03-31,0.94
US0640581007,BK,2021-12-31,1.04
US0640581007,BK,2021-09-30,1.04
US0640581007,BK,2021-06-30,1.13
US0640581007,BK,2021-03-31,0.97
US0640581007,BK,2020-12-31,0.96
US0640581007,BK,2020-09-30,0.98
US0640581007,BK,2020-06-30,1.01
US0640581007,BK,2020-03-31,1.05
US0640581007,BK,2019-12-31,1.01
US0640581007,BK,2019-09-30,1.07
US0640581007,BK,2019-06-30,1.01
US0640581007,BK,2019-03-31,0.94
US0640581007,BK,2018-12-31,0.99
US0640581007,BK,2018-09-30,1.06
US0640581007,BK,2018-06-30,1.03
US0640581007,BK,2018-03-31,1.1
US0640581007,BK,2017-12-31,0.91
US0640581007,BK,2017-09-30,0.94
US0640581007,BK,2017-06-30,0.88
US0640581007,BK,2017-03-31,0.81
US0640581007,BK,2016-12-31,0.77
US0640581007,BK,2016-09-30,0.9
US0640581007,BK,2016-06-30,0.76
US0640581007,BK,2016-03-31,0.74
US0640581007,BK,2015-12-31,0.68
US0640581007,BK,2015-09-30,0.74
US0640581007,BK,2015-06-30,0.77
US0640581007,BK,2015-03-31,0.67
US0640581007,BK,2014-12-31,0.59
US0640581007,BK,2014-09-30,0.64
US0640581007,BK,2014-06-30,0.62
US0640581007,BK,2014-03-31,0.57
US0640581007,BK,2013-12-31,0.54
US0640581007,BK,2013-09-30,0.6
US0640581007,BK,2013-06-30,0.62
US0640581007,BK,2013-03-31,0.5
US0640581007,BK,2012-12-31,0.53
US0640581007,BK,2012-09-30,0.57
US0640581007,BK,2012-06-30,0.57
US0640581007,BK,2012-03-31,0.52
US0640581007,BK,2011-12-31,0.42
US0640581007,BK,2011-09-30,0.59
US0640581007,BK,2011-06-30,0.59
US0640581007,BK,2011-03-31,0.5
US0640581007,BK,2010-12-31,0.59
US0640581007,BK,2010-09-30,0.55
US0640581007,BK,2010-06-30,0.55
US0640581007,BK,2010-03-31,0.59
US0640581007,BK,2009-12-31,0.55
US0640581007,BK,2009-09-30,0.54
US0640581007,BK,2009-06-30,0.51
US0640581007,BK,2009-03-31,0.53
US0640581007,BK,2008-12-31,0.28
US0640581007,BK,2008-09-30,0.72
US0640581007,BK,2008-06-30,0.67
US0640581007,BK,2008-03-31,0.72
US0640581007,BK,2007-12-31,0.67
US0640581007,BK,2007-09-30,0.67
US0640581007,BK,2007-06-30,0.63
US0640581007,BK,2007-03-31,0.59
US0640581007,BK,2006-12-31,0.58
US0640581007,BK,2006-09-30,0.56
US0640581007,BK,2006-06-30,0.59
US0640581007,BK,2006-03-31,0.55
US0640581007,BK,2005-12-31,0.53
US0640581007,BK,2005-09-30,0.51
US0640581007,BK,2005-06-30,0.52
US0640581007,BK,2005-03-31,0.49
US0640581007,BK,2004-12-31,0.48
US0640581007,BK,2004-09-30,0.46
US0640581007,BK,2004-06-30,0.48
US0640581007,BK,2004-03-31,0.47
US0640581007,BK,2003-12-31,0.44
US0640581007,BK,2003-09-30,0.42
US0640581007,BK,2003-06-30,0.41
US0640581007,BK,2003-03-31,0.41
US0640581007,BK,2002-12-31,0.14
US0640581007,BK,2002-09-30,0.11
US0640581007,BK,2002-06-30,0.51
US0640581007,BK,2002-03-31,0.5
US0640581007,BK,2001-12-31,0.46
US0640581007,BK,2001-09-30,0.52
US0640581007,BK,2001-06-30,0.52
US0640581007,BK,2001-03-31,0.52
US0640581007,BK,2000-12-31,0.5
US0640581007,BK,2000-09-30,0.49
US0640581007,BK,2000-06-30,0.48
US0640581007,BK,2000-03-31,0.46
US0640581007,BK,1999-12-31,0.44
US0640581007,BK,1999-09-30,0.42
US0640581007,BK,1999-06-30,0.42
US0640581007,BK,1999-03-31,0.41
US0640581007,BK,1998-12-31,0.4
US0640581007,BK,1998-09-30,0.39
US0640581007,BK,1998-06-30,0.4
US0640581007,BK,1998-03-31,0.37
US0640581007,BK,1997-12-31,0.38
US0640581007,BK,1997-09-30,0.35
US0640581007,BK,1997-06-30,0.34
US0640581007,BK,1997-03-31,0.33
US0640581007,BK,1996-12-31,0.31
US0640581007,BK,1996-09-30,0.3
US0640581007,BK,1996-06-30,0.3
US0640581007,BK,1996-03-31,0.28
US5949181045,MSFT,2024-09-30,3.3
US5949181045,MSFT,2024-06-30,2.95
US5949181045,MSFT,2024-03-31,2.94
US5949181045,MSFT,2023-12-31,2.93
US5949181045,MSFT,2023-09-30,2.99
US5949181045,MSFT,2023-06-30,2.69
US5949181045,MSFT,2023-03-31,2.45
US5949181045,MSFT,2022-12-31,2.32
US5949181045,MSFT,2022-09-30,2.35
US5949181045,MSFT,2022-06-30,2.23
